run_id,num_tasks,checkpoint_step,prompt_source,prompt_length,n_samples,n_samples_prior,n_prompts,prompt_idx,dist/ed_vs_baseline_memorising,dist/ed_vs_baseline_generalising,dist/sw_vs_baseline_memorising,dist/sw_vs_baseline_generalising,dist/ed_vs_baseline_misspecified,dist/sw_vs_baseline_misspecified
5s87k2pz,256,150000,generalising,8,100,0,50,29,2.2365779876708984,0.2398899447071378,0.5935546664235075,0.1850452361139045,0.1663473844528198,0.1554528860965729
5s87k2pz,256,150000,generalising,8,100,0,50,30,2.8112659454345703,0.3607385720141014,0.6090102560965884,0.292185923247818,0.403110146522522,0.3051488767378606
5s87k2pz,256,150000,generalising,8,100,0,50,31,1.2032146453857422,0.3483503680033488,0.3817241972648598,0.2374685654612626,0.6202402114868164,0.2909036848038973
5s87k2pz,256,150000,generalising,8,100,0,50,32,1.5329008102416992,0.1601341751364762,0.4018131309514628,0.1841111171130606,0.1738389730453491,0.1793667662112016
5s87k2pz,256,150000,generalising,8,100,0,50,33,1.3766809701919556,0.2105654240965626,0.4059188272625887,0.2281700937518003,0.5498867034912109,0.3144921474622629
5s87k2pz,256,150000,generalising,8,100,0,50,34,2.1570067405700684,0.6414586423823461,0.6299219998409084,0.3188707878865251,1.4402717351913452,0.4778187509014365
5s87k2pz,256,150000,generalising,8,100,0,50,35,3.034541606903076,0.1657604348720232,0.6455684606326578,0.1611950708755873,0.1825422048568725,0.1766624448697997
5s87k2pz,256,150000,generalising,8,100,0,50,36,0.9778231382369996,0.7622915555846044,0.3453786004879392,0.3651601606852063,0.8126085996627808,0.3649406102802334
5s87k2pz,256,150000,generalising,8,100,0,50,37,1.336033582687378,0.3636119937931592,0.4612951562404918,0.25799598016179,0.7416505813598633,0.3513705509614583
5s87k2pz,256,150000,generalising,8,100,0,50,38,2.0245087146759033,0.8625773545187116,0.5125398468979024,0.3704801080921005,0.7830355167388916,0.3682319539071477
5s87k2pz,256,150000,generalising,8,100,0,50,39,0.971786618232727,0.2131908841888998,0.283173666264348,0.1956978901503811,0.251382827758789,0.1703912854673909
5s87k2pz,256,150000,generalising,8,100,0,50,40,1.5092564821243286,0.9439188508622344,0.3830989208208452,0.4528312056628194,0.7384986877441406,0.3942344835264589
5s87k2pz,256,150000,generalising,8,100,0,50,41,1.2546849250793457,0.4284954015436149,0.3290326071784071,0.2370407084884775,0.7226557731628418,0.2935939896511364
5s87k2pz,256,150000,generalising,8,100,0,50,42,2.428114414215088,0.3828307717762009,0.4538875957977884,0.2171253808772625,0.6730238199234009,0.304862520553274
5s87k2pz,256,150000,generalising,8,100,0,50,43,1.0523170232772827,0.1431792155272111,0.3697686714755207,0.1784416195377252,0.1374732255935669,0.1540434630011053
5s87k2pz,256,150000,generalising,8,100,0,50,44,0.725630521774292,0.925727004401677,0.2667243567823015,0.3522135602887195,0.9821079969406128,0.3462963619031644
5s87k2pz,256,150000,generalising,8,100,0,50,45,2.433346748352051,1.05718517688334,0.4919454854650563,0.3612792228640852,1.0572110414505005,0.3394535279535287
5s87k2pz,256,150000,generalising,8,100,0,50,46,1.6772074699401855,0.8368545689219531,0.3965776990918128,0.3563527554601403,0.9320343732833862,0.3667065676876859
5s87k2pz,256,150000,generalising,8,100,0,50,47,1.642625093460083,2.1563125192382957,0.3339731518017166,0.5506399549455173,2.270630359649658,0.6378740580553914
5s87k2pz,256,150000,generalising,8,100,0,50,48,2.6068978309631348,0.6570339455048047,0.4678170874252114,0.2963899108507675,0.7154558897018433,0.3066359233206256
5s87k2pz,256,150000,generalising,8,100,0,50,49,3.2720017433166504,1.2403791624330156,0.6164594589947849,0.3866588076808596,1.2451822757720947,0.3852978850787339
5s87k2pz,256,150000,memorising,8,100,0,50,0,0.4224714040756225,0.4947748377552032,0.1595277128595596,0.2655823933601183,0.4635816812515259,0.245569116618961
5s87k2pz,256,150000,memorising,8,100,0,50,1,0.58172208070755,0.1615336964500553,0.238690614223036,0.1637481819514172,0.2291997671127319,0.1679168590600673
5s87k2pz,256,150000,memorising,8,100,0,50,2,0.3843729496002197,0.2303186222785096,0.1496247213689144,0.1755624341478967,0.3258795738220215,0.2179265117301497
5s87k2pz,256,150000,memorising,8,100,0,50,3,2.9318747520446777,0.1687435581287362,0.6635926920323268,0.1642796944716534,0.2123695611953735,0.1826603405136135
5s87k2pz,256,150000,memorising,8,100,0,50,4,1.5264817476272583,0.2092856646345853,0.4740402451848881,0.2023201602342065,0.2659358978271484,0.2148402300828929
5s87k2pz,256,150000,memorising,8,100,0,50,5,0.8538632392883301,0.2942969632946433,0.284771308987291,0.2424817881327039,0.3441015481948852,0.2719673785829875
5s87k2pz,256,150000,memorising,8,100,0,50,6,2.111973285675049,0.6112843514925748,0.4257627990199467,0.2803522648472182,0.3391895294189453,0.2211129979691739
5s87k2pz,256,150000,memorising,8,100,0,50,7,3.0208160877227783,0.1417674791048662,0.6603286233029132,0.1643290667129038,0.1780318021774292,0.1700312579000472
5s87k2pz,256,150000,memorising,8,100,0,50,8,0.6676499843597412,0.1924180507829225,0.266486154874746,0.1864047598127687,0.0514682531356811,0.1222242357587754
5s87k2pz,256,150000,memorising,8,100,0,50,9,0.2685330510139465,0.4609086260127193,0.1288334696681087,0.3000203233541761,0.6605854034423828,0.3411649817861278
5s87k2pz,256,150000,memorising,8,100,0,50,10,1.7729748487472534,0.1255109743861679,0.4241272087748864,0.1411762952392352,0.3608591556549072,0.2204615429460377
